Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
het_1_control	43.6948705311	49.0	145.420159713	42379820.0	10.0
het_1_doxo	45.199875871	50.0	146.185067968	37706336.0	10.0
null_1_control	47.6568655757	50.0	146.931995806	39576706.0	10.0
null_1_doxo	51.526490475	51.0	145.973079749	36070318.0	20.0
null_2_control	43.3315699899	51.0	146.386128473	37881713.0	10.0
null_2_doxo	43.8572369647	51.0	146.353755057	41191626.0	10.0
null_3_control	45.1429264162	48.0	146.151087677	40305716.0	10.0
null_3_doxo	39.3532832837	50.0	146.571996718	38734231.0	10.0
wt_1_control	42.0222736325	51.0	146.298393156	39801677.0	10.0
wt_1_doxo	45.5900642067	51.0	146.660654792	40648109.0	10.0
