Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_sequence_quality_scores
SRR8267458	pass	0.0	warn	146.963877604	Sanger / Illumina 1.9	pass	warn	35-150	Conventional base calls	pass	warn	9479327.0	pass	fail	warn	51.0	59.3209303315	SRR8267458.fastq.gz	pass
SRR8267459	pass	0.0	warn	147.021880762	Sanger / Illumina 1.9	pass	warn	35-150	Conventional base calls	pass	warn	8990866.0	pass	fail	pass	51.0	59.6961195613	SRR8267459.fastq.gz	pass
SRR8267460	pass	0.0	warn	146.96853099	Sanger / Illumina 1.9	pass	warn	35-150	Conventional base calls	pass	warn	9289679.0	pass	fail	warn	51.0	58.6206063961	SRR8267460.fastq.gz	pass
SRR8267461	pass	0.0	warn	146.984152892	Sanger / Illumina 1.9	pass	warn	35-150	Conventional base calls	pass	warn	8969965.0	pass	fail	pass	51.0	59.5469881741	SRR8267461.fastq.gz	pass
SRR8267462	pass	0.0	warn	146.053893018	Sanger / Illumina 1.9	pass	warn	35-150	Conventional base calls	pass	warn	8472322.0	pass	fail	pass	51.0	58.1121528483	SRR8267462.fastq.gz	pass
SRR8267463	pass	0.0	warn	146.098154262	Sanger / Illumina 1.9	pass	warn	35-150	Conventional base calls	pass	warn	8081320.0	pass	fail	pass	51.0	58.5490903545	SRR8267463.fastq.gz	pass
SRR8267464	pass	0.0	warn	146.043725915	Sanger / Illumina 1.9	pass	warn	35-150	Conventional base calls	pass	warn	8303291.0	pass	fail	warn	51.0	57.4325599999	SRR8267464.fastq.gz	pass
SRR8267465	pass	0.0	warn	146.063530241	Sanger / Illumina 1.9	pass	warn	35-150	Conventional base calls	pass	warn	8076626.0	pass	fail	pass	51.0	58.3679594677	SRR8267465.fastq.gz	pass
SRR8267466	pass	0.0	warn	146.448607472	Sanger / Illumina 1.9	pass	warn	35-150	Conventional base calls	pass	warn	9043231.0	pass	fail	warn	52.0	57.9406491528	SRR8267466.fastq.gz	pass
SRR8267467	pass	0.0	warn	146.489792668	Sanger / Illumina 1.9	pass	warn	35-150	Conventional base calls	pass	warn	8614004.0	pass	fail	pass	52.0	58.237636992	SRR8267467.fastq.gz	pass
