Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
SRR8267458	40.6790696685	51.0	146.963877604	9479327.0	10.0
SRR8267459	40.3038804387	51.0	147.021880762	8990866.0	10.0
SRR8267460	41.3793936039	51.0	146.96853099	9289679.0	10.0
SRR8267461	40.4530118259	51.0	146.984152892	8969965.0	10.0
SRR8267462	41.8878471517	51.0	146.053893018	8472322.0	10.0
SRR8267463	41.4509096455	51.0	146.098154262	8081320.0	10.0
SRR8267464	42.5674400001	51.0	146.043725915	8303291.0	10.0
SRR8267465	41.6320405323	51.0	146.063530241	8076626.0	10.0
SRR8267466	42.0593508472	52.0	146.448607472	9043231.0	10.0
SRR8267467	41.762363008	52.0	146.489792668	8614004.0	10.0
SRR8267468	42.678066463	52.0	146.443232118	8870641.0	10.0
SRR8267469	41.9169187968	52.0	146.464041663	8592472.0	10.0
SRR8267470	41.8815145287	51.0	146.432071329	9710031.0	10.0
SRR8267471	41.4234761014	51.0	146.470483983	9169530.0	10.0
SRR8267472	42.4288121003	51.0	146.426884846	9526028.0	10.0
SRR8267473	41.8750009369	51.0	146.440082619	9197373.0	10.0
SRR8267474	39.8576003349	51.0	146.354638806	9540710.0	10.0
SRR8267475	39.5022085587	51.0	146.400766775	9079061.0	10.0
SRR8267476	40.4308521674	51.0	146.353600375	9358429.0	10.0
SRR8267477	39.6144333408	51.0	146.367322003	9070709.0	10.0
SRR8267478	43.5064755126	51.0	146.725742356	9560306.0	10.0
SRR8267479	43.1189851032	51.0	146.767683748	9088981.0	10.0
SRR8267480	43.9516852469	51.0	146.721975943	9371912.0	10.0
SRR8267481	43.3024224778	51.0	146.73420715	9089240.0	10.0
SRR8267482	35.8015321451	49.0	145.57067294	9895598.0	10.0
SRR8267483	35.3396888528	49.0	145.606804464	9328435.0	10.0
SRR8267484	36.4630067025	49.0	145.573206112	9727002.0	10.0
SRR8267485	35.4867176443	49.0	145.573325594	9353378.0	10.0
SRR8267486	37.2182366599	50.0	146.282189281	8684972.0	10.0
SRR8267487	37.0029615913	50.0	146.327585386	8259123.0	10.0
SRR8267488	37.7582900363	50.0	146.275564194	8523934.0	10.0
SRR8267489	37.511683483	50.0	146.289577489	8260946.0	10.0
SRR8267490	37.45261092	49.0	146.258174969	9399699.0	10.0
SRR8267491	36.9234755522	49.0	146.298016724	8818287.0	10.0
SRR8267492	38.0154952468	49.0	146.250432759	9226852.0	10.0
SRR8267493	37.3188766193	49.0	146.264380072	8857449.0	10.0
SRR8267494	32.293857893	50.0	146.656890169	8973800.0	10.0
SRR8267495	31.9751499151	50.0	146.694875713	8593839.0	10.0
SRR8267496	32.6412521711	50.0	146.648541183	8809089.0	10.0
SRR8267497	32.330109576	50.0	146.655730813	8570555.0	10.0
